EPIC               Kp           Raw CDPP     Everest CDPP      Validation        Outliers       Saturated
204809256          14.839         477.579         106.607         148.733              11               0
202635248          13.861         503.224          59.502          88.270              17               0
204517858          15.625         827.854         153.680         186.014              16               0
203096145          13.559         242.905         138.042         184.956               2               0
205668963          12.272         495.480          22.433          38.688               7               0
204895519          12.779         520.436          30.912          47.343              15               0
204316288          14.720         357.554         102.870         116.859              11               0
205483055          12.933         462.717          29.396          53.045              25               0
203940534          12.348         682.886          28.142          48.483              22               0
205431057          15.414         746.499         164.364         218.902              25               0
204586014          15.167         438.956         111.870         138.926              22               0
203604296          14.084         254.732         104.426         134.083               1               0
205068677          10.836         144.263          25.117          36.281              12               1
204990892          12.593         236.265         101.101         150.476               0               0
204896724          11.329         273.688          16.674          25.158              19               1
204492376          11.410         147.606          20.360          30.177               6               0
203568716          13.588        3271.586          30.396          57.486              13               0
205638065          14.859         553.141         118.026         164.970              11               0
203887643          16.741      106212.513       83354.910      110524.803              48               0
204611292          14.208         521.158         207.737         254.136              52               0
203027583          13.181         329.896          46.916          80.446               5               0
205147314          14.447         484.256          87.052         108.867              16               0
204565688          12.293         192.720          29.440          41.695              10               0
205206846          14.188         330.260          69.836         100.576               7               0
203635099          12.144         289.741          93.286         147.692               0               0
203385087          11.295          68.078          35.161          54.941               1               0
204590340          10.969         114.059          10.599          20.001              17               1
205135650          11.744         270.902          17.478          27.903              13               0
202921478          12.328         295.814          41.492          61.190               3               0
203012768          12.913         320.239          30.512          49.652              13               0
205127423          15.495         364.901         114.358         137.025              19               0
