##
## Kepler Eclipsing Binary Catalog
## Revision Date (Y/M/D): March 3, 2016, 1:58 a.m.
## Download Date (Y/M/D): 2016/03/22
##
## Query String: {&quot;sort&quot;:&quot;kic&quot;,&quot;campaign&quot;:[&quot;0&quot;,&quot;1&quot;,&quot;2&quot;,&quot;3&quot;,&quot;4&quot;,&quot;5&quot;,&quot;6&quot;,&quot;7&quot;,&quot;8&quot;,&quot;9&quot;],&quot;kics&quot;:[],&quot;etvlong&quot;:true,&quot;cols&quot;:[&quot;camp&quot;,&quot;bjd0&quot;,&quot;kic&quot;,&quot;p&quot;,&quot;sep&quot;,&quot;pwidth&quot;,&quot;swidth&quot;],&quot;etvshort&quot;:true,&quot;incat1&quot;:true,&quot;kois&quot;:[]}
##
#KIC,camp,period,bjd0,pwidth,swidth,sep,
202733088,K2C2,3.4338287,56897.391767,0.0788,0.0830,0.5032,
202828096,K2C2,1.4360879,56894.567267,0.0897,0.0941,0.5000,
202843085,K2C2,16.4971649,56893.837897,0.0251,0.0292,0.4477,
202843107,K2C2,2.1988862,56894.302502,0.1008,-1.0000,1.0000,
202844711,K2C2,6.1792401,56903.598487,0.0449,0.0435,0.5001,
202923459,K2C2,7.0300351,56899.870301,0.0992,0.0559,0.4765,
202963882,K2C2,0.6307949,56893.862128,0.1140,0.1200,0.4969,
203060993,K2C2,5.9549318,56897.941414,0.0331,0.0368,0.5001,
203294831,K2C2,3.7180741,56897.379506,0.0325,0.0309,0.4987,
203610780,K2C2,29.5942394,56915.578521,0.0106,0.0151,0.4818,
203633064,K2C2,0.7099475,56893.413723,0.0948,0.1124,0.4934,
203636784,K2C2,6.7648693,56899.541032,0.0324,0.0359,0.5026,
203637922,K2C2,4.3072062,56896.211351,0.0530,0.0457,0.4999,
203710387,K2C2,1.4044365,56894.711945,0.0603,-1.0000,1.0000,
203728604,K2C2,36.1500000,56899.853500,-1.0000,-1.0000,-1.0000,
203749720,K2C2,0.3454166,56894.032485,0.1650,0.2040,0.4964,
203868608,K2C2,4.5419176,56896.193416,0.0227,0.0414,0.4637,
203884383,K2C2,0.9250428,56905.446665,0.2374,0.2200,0.5041,
203919499,K2C2,30.2899127,56889.030346,0.0072,0.0082,0.2047,
203926458,K2C2,1.4986000,56894.610606,0.1970,0.1996,0.5078,
203929178,K2C2,1.1539326,56894.746255,0.1118,-1.0000,1.0000,
203942067,K2C2,1.6398916,56895.548557,0.0841,-1.0000,1.0000,
204026146,K2C2,14.6998249,56906.751456,0.0439,0.0405,0.5065,
204054616,K2C2,4.6600831,56898.507102,0.0712,0.0711,0.4998,
204073447,K2C2,3.2501348,56896.527431,0.0317,0.0107,0.5008,
204123866,K2C2,2.5117277,56896.045861,0.1108,0.0871,0.5001,
204124270,K2C2,1.3301484,56898.263002,0.2547,0.2478,0.5153,
204129699,K2C2,1.2578328,56943.912140,0.0310,-1.0000,1.0000,
204193529,K2C2,5.5019810,56894.403314,0.0297,0.0186,0.4990,
204407880,K2C2,34.3678446,56917.709129,0.0087,0.0191,0.7173,
204531124,K2C2,3.4302675,56894.030670,0.0227,0.0354,0.4992,
204538608,K2C2,0.9148545,56893.410793,0.0833,0.0870,0.5013,
